"REF_DATE","GEO","DGUID","Age at time of death","Sex","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015-08-01","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","0","","","","0"
"2015-08-08","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2015-08-15","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","0","","","","0"
"2015-08-22","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","0","","","","0"
"2015-08-29","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","0","","","","0"
"2015-09-05","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2015-09-12","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2015-09-19","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","10","","","","0"
"2015-09-26","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","10","","","","0"
"2015-10-03","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","0","","","","0"
"2015-10-10","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","0","","","","0"
"2015-10-17","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2015-10-24","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","0","","","","0"
"2015-10-31","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2015-11-07","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2015-11-14","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","0","","","","0"
"2015-11-21","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","10","","","","0"
"2015-11-28","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2015-12-05","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2015-12-12","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2015-12-19","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","0","","","","0"
"2015-12-26","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","10","","","","0"
"2016-01-02","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","0","","","","0"
"2016-01-09","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","0","","","","0"
"2016-01-16","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","10","","","","0"
"2016-01-23","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2016-01-30","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2016-02-06","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2016-02-13","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2016-02-20","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2016-02-27","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","10","","","","0"
"2016-03-05","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","0","","","","0"
"2016-03-12","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2016-03-19","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","10","","","","0"
"2016-03-26","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","10","","","","0"
"2016-04-02","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2016-04-09","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","0","","","","0"
"2016-04-16","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2016-04-23","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2016-04-30","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","10","","","","0"
"2016-05-07","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2016-05-14","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2016-05-21","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","10","","","","0"
"2016-05-28","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2016-06-04","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2016-06-11","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","0","","","","0"
"2016-06-18","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","0","","","","0"
"2016-06-25","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","0","","","","0"
"2016-07-02","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","0","","","","0"
"2016-07-09","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2016-07-16","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","0","","","","0"
"2016-07-23","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2016-07-30","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","10","","","","0"
"2016-08-06","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2016-08-13","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","10","","","","0"
"2016-08-20","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","0","","","","0"
"2016-08-27","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","10","","","","0"
"2016-09-03","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","0","","","","0"
"2016-09-10","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","10","","","","0"
"2016-09-17","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","10","","","","0"
"2016-09-24","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2016-10-01","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","0","","","","0"
"2016-10-08","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","0","","","","0"
"2016-10-15","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2016-10-22","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2016-10-29","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","0","","","","0"
"2016-11-05","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","0","","","","0"
"2016-11-12","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2016-11-19","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2016-11-26","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2016-12-03","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","0","","","","0"
"2016-12-10","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2016-12-17","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","0","","","","0"
"2016-12-24","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2016-12-31","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2017-01-07","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2017-01-14","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","0","","","","0"
"2017-01-21","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","0","","","","0"
"2017-01-28","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","0","","","","0"
"2017-02-04","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","10","","","","0"
"2017-02-11","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2017-02-18","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","0","","","","0"
"2017-02-25","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2017-03-04","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","0","","","","0"
"2017-03-11","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","10","","","","0"
"2017-03-18","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","0","","","","0"
"2017-03-25","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2017-04-01","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","0","","","","0"
"2017-04-08","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","0","","","","0"
"2017-04-15","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","0","","","","0"
"2017-04-22","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2017-04-29","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","10","","","","0"
"2017-05-06","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2017-05-13","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","0","","","","0"
"2017-05-20","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2017-05-27","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2017-06-03","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","0","","","","0"
"2017-06-10","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","0","","","","0"
"2017-06-17","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","0","","","","0"
"2017-06-24","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2017-07-01","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2017-07-08","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","0","","","","0"
"2017-07-15","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2017-07-22","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2017-07-29","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2017-08-05","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2017-08-12","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2017-08-19","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2017-08-26","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2017-09-02","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","10","","","","0"
"2017-09-09","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2017-09-16","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","10","","","","0"
"2017-09-23","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2017-09-30","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","0","","","","0"
"2017-10-07","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2017-10-14","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2017-10-21","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2017-10-28","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2017-11-04","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","0","","","","0"
"2017-11-11","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","0","","","","0"
"2017-11-18","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2017-11-25","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","0","","","","0"
"2017-12-02","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","0","","","","0"
"2017-12-09","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","0","","","","0"
"2017-12-16","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","0","","","","0"
"2017-12-23","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2017-12-30","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2018-01-06","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
